,0
0,128231.055
1,159056.75
2,204947.55
3,191708.53
4,183442.67
5,168070.7
6,168815.69
7,168287.2
8,183424.08
9,126760.49
10,198010.23
11,94325.31
12,104536.75
13,151330.47
14,118391.305
15,412863.97
16,255367.75
17,313232.34
18,259442.6
19,449269.38
20,310214.88
21,210288.69
22,177838.9
23,171060.1
24,166045.89
25,192376.84
26,360761.8
27,230641.02
28,197269.03
29,241613.05
30,187782.34
31,88520.69
32,182041.8
33,263460.75
34,296384.78
35,255236.08
36,186633.08
37,161162.19
38,153759.33
39,152490.06
40,182749.31
41,141963.17
42,294897.78
43,221986.56
44,227825.72
45,176666.62
46,249691.84
47,193944.1
48,156237.5
49,150815.81
50,160238.95
51,170631.34
52,145798.17
53,164622.88
54,214968.14
55,160851.12
56,156038.36
57,131049.86
58,227268.08
59,138170.95
60,141501.55
61,163507.05
62,120342.09
63,129441.234
64,122057.1
65,119796.89
66,102807.43
67,126627.97
68,154343.27
69,164997.84
70,112422.2
71,93096.32
72,148301.64
73,116843.836
74,149968.14
75,124911.38
76,91514.04
77,137792.8
78,212867.23
79,105045.484
80,148376.4
81,134260.92
82,193467.42
83,91609.016
84,104926.92
85,128755.79
86,137412.77
87,131043.35
88,130152.32
89,150127.14
90,110445.59
91,158177.92
92,144779.44
93,116137.02
94,178532.72
95,98262.875
96,129253.79
97,93922.24
98,126915.91
99,135259.03
100,180335.3
101,127561.39
102,127185.18
103,168995.1
104,161525.62
105,243821.19
106,75931.164
107,218844.02
108,135891.5
109,131986.62
110,126509.61
111,148666.03
112,259300.53
113,106807.93
114,226624.12
115,247834.45
116,187490.38
117,149077.48
118,148563.52
119,189062.08
120,144109.11
121,127108.266
122,332131.0
123,237501.4
124,140679.77
125,69725.43
126,99445.27
127,165295.42
128,86249.71
129,137937.33
130,98816.46
131,105455.84
132,116043.94
133,146821.47
134,132020.58
135,244667.98
136,172123.0
137,201846.31
138,151647.61
139,174247.14
140,80773.086
141,124183.69
142,82781.38
143,273846.44
144,248709.56
145,149341.89
146,171601.22
147,227138.17
148,184455.67
149,167138.25
150,134503.31
151,173122.66
152,172615.48
153,112883.92
154,87535.51
155,69604.37
156,87743.92
157,122976.38
158,139397.39
159,173799.53
160,138795.8
161,145282.39
162,291444.22
163,242228.44
164,126930.46
165,162383.64
166,194794.84
167,269098.56
168,182120.4
169,325623.22
170,198297.25
171,256616.66
172,165858.1
173,188355.31
174,184990.89
175,163917.72
176,193448.61
177,205561.48
178,164884.47
179,252193.03
180,172236.75
181,230755.03
182,228669.64
183,226655.05
184,184876.64
185,151563.77
186,156983.16
187,142755.22
188,135835.39
189,111298.914
190,113240.12
191,93013.734
192,98568.07
193,148253.1
194,139824.81
195,145679.84
196,155797.86
197,150951.27
198,120666.29
199,153759.22
200,463930.88
201,397366.66
202,381716.3
203,400123.97
204,316432.47
205,324470.66
206,368950.9
207,330704.9
208,290489.94
209,333202.12
210,252562.16
211,516975.9
212,297528.7
213,245044.16
214,185164.84
215,202990.11
216,220386.17
217,481613.5
218,431391.66
219,298539.5
220,243336.64
221,302545.9
222,171680.9
223,171083.36
224,175004.19
225,173562.25
226,159009.05
227,186422.33
228,189561.1
229,190434.58
230,167271.16
231,284646.62
232,161482.7
233,183764.23
234,173154.33
235,275179.12
236,163600.3
237,398187.1
238,328077.8
239,246495.47
240,263103.6
241,244306.86
242,246404.77
243,279795.7
244,223665.05
245,487273.62
246,235137.03
247,204304.98
248,251563.28
249,221538.28
250,277061.22
251,242106.19
252,294361.22
253,221466.03
254,210522.56
255,179096.03
256,161620.62
257,148308.9
258,202186.5
259,250332.9
260,160529.05
261,129046.42
262,157172.98
263,214754.67
264,233469.89
265,195964.81
266,171851.22
267,180314.75
268,159878.67
269,139875.06
270,126402.13
271,136912.97
272,121818.31
273,117053.51
274,130174.945
275,119912.43
276,353537.8
277,210597.33
278,302271.22
279,254153.67
280,192935.95
281,178204.33
282,178877.42
283,293252.4
284,230377.19
285,212102.42
286,214338.83
287,217764.02
288,162436.16
289,133139.27
290,222117.73
291,127365.484
292,146845.45
293,169230.42
294,171396.34
295,125942.11
296,126484.54
297,154314.52
298,166865.0
299,170324.81
300,148962.19
301,166600.98
302,179118.5
303,120075.984
304,192687.44
305,165131.73
306,201512.97
307,149431.48
308,164690.97
309,138146.33
